category,sample_id,has_front,has_back,panel_count,stitch_count
dress_sleeveless_2550,dress_sleeveless_000YCTJ9HS,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_02785H9ILO,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_02SNUB424B,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_038TR0ANFK,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_03ATARTQ2Z,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_03NR4RD224,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_04I8B5BYZY,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_063X1Q91RU,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_06W50EVGWM,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_07BY4259P4,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_07EI1P4COY,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_07M3X588N8,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_08NR549MD5,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_09I4MSDW2N,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_09MRQ76E38,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_09OEIXO5RU,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_09UEG2PNS5,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_09W7OJHT10,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_0ASU894TUI,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_0B3B3ZJSQ0,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_0DP8RC3PY1,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_0E0Z8P47JY,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_0EHZLJPVWE,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_0ERP5CK3FB,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_0F4AS7ZBUB,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_0F7G9948TI,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_0FWU87POG8,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_0GUOPI298P,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_0I6QQ6TLVV,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_0ID6S1NFJO,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_0JSA2BT4FZ,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_0KKZ4MH0VQ,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_0KYXFP5UNO,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_0L0F0YYVT0,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_0LZDUEZW67,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_0MAXMII1XO,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_0MCTV0TFXA,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_0MHLQB2MI7,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_0N7LU2JM5Y,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_0NOB8KE0QB,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_0NU7ZDAYZE,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_0O2IOP8EPN,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_0OADXS6VHQ,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_0OBFBQP5XX,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_0OSHL79XQ3,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_0P7AYZNMX5,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_0POEP7HBAG,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_0QKCGF1SEE,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_0QLHHLJFY0,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_0SI4M5OOOA,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_0SLL2WQV5D,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_0SX70QS1RZ,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_0TGRPZX1TF,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_0UHNSVOWZV,1,1,4,10
dress_sleeveless_2550,dress_sleeveless_0VPX49CE0V,1,1,4,10
